repo_url,full_name,owner_login,description,language,stars_count,forks_count,open_issues_count,total_commits,months_with_activity,avg_commits_per_month,most_active_month,most_active_month_commits,archived,disabled,visibility,has_solidity,has_vyper,uses_solmate,uses_solady,has_scaffold_config
https://github.com/stamp9/web3-ctf-intensive-colearning/,stamp9/web3-ctf-intensive-colearning,Stamp9,,Solidity,0,0,0,3350,2,1675.0,2024-09,2298,False,False,public,True,False,True,True,False
https://github.com/tannerang/web3-ctf-intensive-colearning/,tannerang/web3-ctf-intensive-colearning,tannerang,,Solidity,0,0,0,3339,2,1669.5,2024-09,2287,False,False,public,True,False,True,True,False
https://github.com/jerome011107/web3-ctf-intensive-colearning/,jerome011107/web3-ctf-intensive-colearning,jerome011107,,Solidity,0,0,0,2420,2,1210.0,2024-09,1368,False,False,public,True,False,True,True,False
https://github.com/exactly/mobile/,exactly/mobile,exactly,🔜,TypeScript,7,0,73,2344,14,167.43,2024-08,356,False,False,public,True,False,True,True,False
https://github.com/moonwell-fi/moonwell-contracts-v2/,moonwell-fi/moonwell-contracts-v2,moonwell-fi,,Solidity,18,12,43,2069,14,147.79,2024-09,391,False,False,public,True,False,True,False,False
https://github.com/dvilelaf/meme-ooorr/,dvilelaf/meme-ooorr,dvilelaf,An autonomous Olas agent that deploys meme coins.,Python,2,6,2,1858,10,185.8,2024-12,452,False,False,public,True,False,True,False,False
https://github.com/tobiasperel/boring-vault/,tobiasperel/boring-vault,tobiasperel,,Solidity,0,0,0,1843,13,141.77,2025-03,308,False,False,public,True,False,True,False,False
https://github.com/0xdgoat/boring-vault/,0xdgoat/boring-vault,0xdgoat,,Solidity,0,2,2,1838,12,153.17,2025-03,308,False,False,public,True,False,True,False,False
https://github.com/whetstoneresearch/doppler/,whetstoneresearch/doppler,whetstoneresearch,Core contracts for the Doppler Protocol,Solidity,60,17,29,1832,14,130.86,2025-01,222,False,False,public,True,False,True,True,False
https://github.com/espressosystems/espresso-sequencer/,espressosystems/espresso-sequencer,EspressoSystems,,Rust,91,62,186,1823,13,140.23,2024-08,280,False,False,public,True,False,True,False,False
https://github.com/euler-xyz/evk-periphery/,euler-xyz/evk-periphery,euler-xyz,Periphery contracts for use with the Euler Vault Kit (EVK),Solidity,20,7,3,1547,13,119.0,2024-08,186,False,False,public,True,False,True,False,False
https://github.com/lombard-finance/evm-smart-contracts/,lombard-finance/evm-smart-contracts,lombard-finance,,TypeScript,11,11,5,1537,13,118.23,2024-12,278,False,False,public,True,False,True,False,False
https://github.com/0xdevant/doppler/,0xdevant/doppler,0xdevant,Core contracts for the Doppler Protocol,Solidity,0,0,0,1508,11,137.09,2025-01,222,False,False,public,True,False,True,True,False
https://github.com/term-structure/termmax-contract/,term-structure/termmax-contract,term-structure,,Solidity,3,1,0,1326,13,102.0,2024-11,286,False,False,public,True,False,True,True,False
https://github.com/giovannivignone/doppler/,giovannivignone/doppler,giovannivignone,Core contracts for the Doppler Protocol,,0,1,0,1202,9,133.56,2025-01,222,False,False,public,True,False,True,True,False
https://github.com/kleros/kleros-v2/,kleros/kleros-v2,kleros,Kleros version 2,TypeScript,52,35,145,1096,13,84.31,2024-12,226,False,False,public,True,False,True,False,False
https://github.com/saucepoint/doppler/,saucepoint/doppler,saucepoint,Core contracts for the Doppler Protocol,Solidity,1,0,0,1058,7,151.14,2025-01,222,False,False,public,True,False,True,True,False
https://github.com/olympix/lifi-contracts/,olympix/lifi-contracts,olympix,LI.FI Smart Contracts,Solidity,0,0,2,990,13,76.15,2025-06,163,False,False,public,True,False,True,True,False
https://github.com/mirooon/contracts/,mirooon/contracts,mirooon,LI.FI Smart Contracts,Solidity,0,0,4,900,13,69.23,2025-02,299,False,False,public,True,False,True,True,False
https://github.com/lifinance/contracts/,lifinance/contracts,lifinance,LI.FI Smart Contracts,Solidity,89,36,15,889,14,63.5,2025-06,141,False,False,public,True,False,True,True,False
https://github.com/merit-systems/contracts/,merit-systems/contracts,Merit-Systems,Merit Systems Escrow smart contracts,Solidity,25,4,0,700,6,116.67,2025-06,309,False,False,public,True,False,True,False,False
https://github.com/euler-xyz/tycho-execution/,euler-xyz/tycho-execution,euler-xyz,,Solidity,0,0,7,686,3,228.67,2025-02,353,False,False,public,True,False,True,False,False
https://github.com/zyz-007/boundless/,zyz-007/boundless,zyz-007,"Monorepo for Boundless, the universal ZK protocol",,0,0,0,651,11,59.18,2025-06,120,False,False,public,True,False,True,False,False
https://github.com/kkrt-labs/keth/,kkrt-labs/keth,kkrt-labs,Integration of the Kakarot Ethereum execution layer in the Reth client. ,Cairo,26,7,13,648,13,49.85,2025-02,137,False,False,public,True,False,True,False,False
https://github.com/aragon/ve-governance/,aragon/ve-governance,aragon,,Solidity,2,0,1,581,10,58.1,2025-04,210,False,False,public,True,False,True,False,False
https://github.com/ethereum-optimism/superchain-ops/,ethereum-optimism/superchain-ops,ethereum-optimism,,Solidity,35,32,17,563,14,40.21,2025-02,101,False,False,public,True,False,True,True,False
https://github.com/owlprotocol/veraswap/,owlprotocol/veraswap,owlprotocol,User friendly crosschain decentralized exchange using Uniswap & Hyperlane,TypeScript,3,1,3,547,10,54.7,2025-02,137,False,False,public,True,False,True,True,False
https://github.com/erc7579/smartsessions/,erc7579/smartsessions,erc7579,,Solidity,1,0,0,529,12,44.08,2024-09,160,False,False,public,True,False,True,True,False
https://github.com/superreturn/superusd/,superreturn/superusd,SuperReturn,,Solidity,1,1,1,529,9,58.78,2024-10,148,False,False,public,True,False,True,False,False
https://github.com/celo-org/superchain-ops/,celo-org/superchain-ops,celo-org,superchain-ops allows builders to create and execute tasks on EVM chains. ,Solidity,0,1,0,526,13,40.46,2025-02,101,False,False,public,True,False,True,True,False
https://github.com/hjorthjort/audit-shadow-x33/,hjorthjort/audit-shadow-x33,hjorthjort,Audit shadow-x33,Solidity,0,0,0,519,7,74.14,2024-12,179,False,False,public,True,False,True,False,False
https://github.com/relayprotocol/relay-vaults/,relayprotocol/relay-vaults,relayprotocol,Relay Vaults are ERC4626 compliant vaults that allow users to deposit and withdraw tokens while earning yield.,TypeScript,7,1,14,508,8,63.5,2025-04,96,False,False,public,True,False,True,False,False
https://github.com/morpho-org/pre-liquidation/,morpho-org/pre-liquidation,morpho-org,,Solidity,7,1,2,504,7,72.0,2024-09,297,False,False,public,True,False,True,False,False
https://github.com/euler-xyz/euler-swap/,euler-xyz/euler-swap,euler-xyz,EulerSwap is an automated market maker (AMM) that integrates with EVK vaults and the EVC to provide deeper liquidity for swaps.,Solidity,43,17,3,501,9,55.67,2025-03,128,False,False,public,True,False,True,False,False
https://github.com/ionicprotocol/monorepo/,ionicprotocol/monorepo,ionicprotocol,"Central repository for Ionic Protocol's frontend, SDK, and bots",TypeScript,2,0,1,495,10,49.5,2024-10,106,False,False,public,True,False,True,False,False
https://github.com/ourzora/zora-protocol/,ourzora/zora-protocol,ourzora,Monorepo for Zora Protocol (contracts & sdks),Solidity,80,42,2,482,13,37.08,2024-12,72,False,False,public,True,False,True,True,False
https://github.com/valory-xyz/ai-registry-mech/,valory-xyz/ai-registry-mech,valory-xyz,Reference implementation of an AI Registry and AI Mech,Solidity,2,1,2,480,12,40.0,2025-01,119,False,False,public,True,False,True,False,False
https://github.com/quantammprotocol/quantamm-v1/,quantammprotocol/quantamm-v1,QuantAMMProtocol,Main repository for the QuantAMM protocol V1,Solidity,1,1,1,473,12,39.42,2025-02,123,False,False,public,True,False,True,False,False
https://github.com/s-di-cola/swapcast/,s-di-cola/swapcast,s-di-cola,a Market Intelligence & Prediction Layer for Uniswap v4,TypeScript,2,0,0,445,2,222.5,2025-06,262,False,False,public,True,False,True,False,False
https://github.com/ackee-blockchain/solady/,ackee-blockchain/solady,Ackee-Blockchain,Optimized Solidity snippets.,Solidity,0,0,1,442,12,36.83,2025-01,79,False,False,public,True,False,True,True,False
https://github.com/balancer/balancer-v3-monorepo/,balancer/balancer-v3-monorepo,balancer,,Solidity,37,12,75,441,14,31.5,2024-08,74,False,False,public,True,False,True,False,False
https://github.com/arcadia-finance/asset-managers/,arcadia-finance/asset-managers,arcadia-finance,,Solidity,10,8,0,421,13,32.38,2025-04,83,False,False,public,True,False,True,True,False
https://github.com/ivanvolov/turbo-hedgehog/,ivanvolov/turbo-hedgehog,ivanvolov,Turbo hedgehog,Solidity,1,1,0,403,10,40.3,2025-02,118,False,False,public,True,False,True,False,False
https://github.com/one230six/zora-protocol/,one230six/zora-protocol,one230six,Monorepo for Zora Protocol (contracts & sdks),Solidity,0,0,0,398,11,36.18,2024-12,67,False,False,public,True,False,True,True,False
https://github.com/flasharb-ai/contracts/,flasharb-ai/contracts,FlashArb-AI,,Solidity,1,2,0,386,6,64.33,2025-09,210,False,False,public,True,False,True,False,False
https://github.com/jia57b/story-tests/,jia57b/story-tests,jia57b,"Official repo for the Story L1 consensus client, contracts, and associated tooling.",Go,0,0,1,386,9,42.89,2024-10,98,False,False,public,True,False,True,True,False
